label,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z
Label_F,-615.0097083,-70,45.09868993,-623.0441502,-70,69.82615935,-623.0441502,-105,69.82615935,-615.0097083,-105,45.09868993
Label_L,-615.0097083,-70,45.09868993,-623.0441502,-70,69.82615935,-623.0441502,-105,69.82615935,-615.0097083,-105,45.09868993
Label D,-1112.702954,-70,136.7907479,-1120.428379,-70,160.5671608,-1120.428379,-105,160.5671608,-1112.702954,-105,136.7907479
Label J,-1112.702954,-70,136.7907479,-1120.428379,-70,160.5671608,-1120.428379,-105,160.5671608,-1112.702954,-105,136.7907479
Label A,-1323.546813,-70,-185.1189709,-1331.581255,-70,-160.3915015,-1331.581255,-105,-160.3915015,-1323.546813,-105,-185.1189709
Label G,-1323.546813,-70,-185.1189709,-1331.581255,-70,-160.3915015,-1331.581255,-105,-160.3915015,-1323.546813,-105,-185.1189709
Label B,-1656.416594,-70,-293.2749189,-1664.451036,-70,-268.5474495,-1664.451036,-105,-268.5474495,-1656.416594,-105,-293.2749189
Label H,-1656.416594,-70,-293.2749189,-1664.451036,-70,-268.5474495,-1664.451036,-105,-268.5474495,-1656.416594,-105,-293.2749189
Label K,-1959.143253,-70,-138.2343771,-1966.868678,-70,-114.4579642,-1966.868678,-105,-114.4579642,-1959.143253,-105,-138.2343771
Label E,-1959.143253,-70,-138.2343771,-1966.868678,-70,-114.4579642,-1966.868678,-105,-114.4579642,-1959.143253,-105,-138.2343771
Label I,-2161.745786,-70,-582.5903311,-2172.56138,-70,-549.3033531,-2172.56138,-105,-549.3033531,-2161.745786,-105,-582.5903311
Label C,-2161.745786,-70,-582.5903311,-2172.56138,-70,-549.3033531,-2172.56138,-105,-549.3033531,-2161.745786,-105,-582.5903311
Sunny,-2813.791709,105,-161.4726356,-2709.175492,105,-127.4807662,-2709.175492,-105,-127.4807662,-2813.791709,-105,-161.4726356
Suneel,-2946.939622,105,-204.7350148,-2842.323405,105,-170.7431454,-2842.323405,-105,-170.7431454,-2946.939622,-105,-204.7350148
HODECE,-3082.715923,105,-427.5999874,-3135.248812,105,-265.9203797,-3135.248812,-105,-265.9203797,-3082.715923,-105,-427.5999874
2105,-3008.551844,105,-655.8535514,-3064.174903,105,-484.6633784,-3064.174903,-105,-484.6633784,-3008.551844,-105,-655.8535514
shooes,80,105,1120,230,105,1120,230,-105,1120,80,-105,1120
2113,-230,105,1120,-80,105,1120,-80,-105,1120,-230,-105,1120
programming,555,105,620,555,105,470,555,-105,470,555,-105,620
MI,-555,105,620,-555,105,470,-555,-105,470,-555,-105,620
